Abbreviation	Selected Map	Total_EV	Shift	Shift tooltip	I_Nominee tooltip	blank	D-Check	D_Nominee_prop	Color Bins	Independent spacing	Direction	Spacer	R-Check	D_%	D_Difference%	D_Difference	D_EV	D_EV_Total	D_Nominee	R_Nominee_prop	D_Popular%	D_Votes	D_Votes_Total	Hex_Column	Hex_Row	I_%	I_EV	I_EV_Total	I_Nominee tooltip ●	I_Nominee tooltip ')'	I_Nominee tooltip '%)'	I_Nominee tooltip '('	I_Nominee	I_Popular%	I_Votes	I_Votes_Total	Independent spacing (popular)	Info	Last_RD_Difference	Last_Winner	Last_Winner_%	Number of Records	RD_Difference (bin)	RD_Difference	R_%	R_Difference%	R_Difference	R_EV	R_EV_Total	R_Nominee	I_Nominee_prop	R_Popular%	R_Votes	R_Votes_Total	Region	Row	Shift (l/r)	Shift abbreviation	Space	State (red)	State (blue)	State (yellow)	State	State_Winner	Total Votes	Total_Votes_USA	Winner_%	Winning Party	Year
KS	Hex	10	6	% shift to the left			✔	Woodrow Wilson	A		Left	0		49.9	49.9	314588	10	277	WOODROW WILSON	Charles E. Hughes	49.2%	314588	9126063	5	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-10	-5.8	44.1	44.1	277658		254	CHARLES E. HUGHES	 	46.1%	277658	8547030	Midwest	5	-5.8	0.5	4		Kansas		Kansas	D	629813	18535445	-49.9	D	1916
MO	Hex	18	4	% shift to the left			✔	Woodrow Wilson	A		Left	0		50.6	50.6	398032	18	277	WOODROW WILSON	Charles E. Hughes	49.2%	398032	9126063	5.5	4													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-5	-3.7	46.9	46.9	369339		254	CHARLES E. HUGHES	 	46.1%	369339	8547030	Midwest	4	-3.7	0.5	5		Missouri		Missouri	D	786773	18535445	-50.6	D	1916
ND	Hex	5	2	% shift to the left			✔	Woodrow Wilson	A		Left	0		47.8	47.8	55206	5	277	WOODROW WILSON	Charles E. Hughes	49.2%	55206	9126063	3.5	2													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-5	-1.5	46.3	46.3	53471		254	CHARLES E. HUGHES	 	46.1%	53471	8547030	Midwest	2	-1.5	0.5	4		North Dakota		North Dakota	D	115390	18535445	-47.8	D	1916
NE	Hex	8	14	% shift to the left			✔	Woodrow Wilson	B		Left	0		55.3	55.3	158827	8	277	WOODROW WILSON	Charles E. Hughes	49.2%	158827	9126063	4.5	4													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-15	-14.3	41.0	41	117771		254	CHARLES E. HUGHES	 	46.1%	117771	8547030	Midwest	4	-14.3	0.5	4		Nebraska		Nebraska	D	287315	18535445	-55.3	D	1916
OH	Hex	24	8	% shift to the left			✔	Woodrow Wilson	A		Left	0		51.9	51.9	604161	24	277	WOODROW WILSON	Charles E. Hughes	49.2%	604161	9126063	8	3													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-10	-7.7	44.2	44.2	514753		254	CHARLES E. HUGHES	 	46.1%	514753	8547030	Midwest	3	-7.7	0.5	7		Ohio		Ohio	D	1165091	18535445	-51.9	D	1916
DC	Hex	3	71	% shift to the left			✔	Lyndon B. Johnson	E		Left	0		85.5	85.5	169796	3	486	LYNDON B. JOHNSON	Barry M. Goldwater	61.3%	169796	43340299	12	5													The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.	0		0	1	-75	-71	14.5	14.5	28801		52	BARRY M. GOLDWATER	 	38.5%	28801	27178188	Northeast	4	-71.0	0.5	10		Dist. of Col.		Dist. of Col.	D	198597	70644592	-85.5	D	1964
NH	Hex	4	0	% shift to the right			✔	Woodrow Wilson	A		Same	0		49.1	49.1	43781	4	277	WOODROW WILSON	Charles E. Hughes	49.2%	43781	9126063	11	1													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	0	0	49.1	49.1	43725		254	CHARLES E. HUGHES	 	46.1%	43725	8547030	Northeast	1	0.0	-0.5	11		New Hampshire		New Hampshire	D	89127	18535445	-49.1	D	1916
AL	Hex	12	54	% shift to the left			✔	Woodrow Wilson	E		Left	0		75.6	75.6	99409	12	277	WOODROW WILSON	Charles E. Hughes	49.2%	99409	9126063	7.5	6													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-55	-53.7	21.9	21.9	28809		254	CHARLES E. HUGHES	 	46.1%	28809	8547030	South	6	-53.7	0.5	7		Alabama		Alabama	D	131142	18535445	-75.6	D	1916
AR	Hex	9	39	% shift to the left			✔	Woodrow Wilson	D		Left	0		66.6	66.6	112186	9	277	WOODROW WILSON	Charles E. Hughes	49.2%	112186	9126063	6	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-40	-38.6	28.0	28	47148		254	CHARLES E. HUGHES	 	46.1%	47148	8547030	South	5	-38.6	0.5	5		Arkansas		Arkansas	D	168348	18535445	-66.6	D	1916
FL	Hex	6	51	% shift to the left			✔	Woodrow Wilson	E		Left	0		69.3	69.3	55984	6	277	WOODROW WILSON	Charles E. Hughes	49.2%	55984	9126063	8.5	8													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-55	-51.2	18.1	18.1	14611		254	CHARLES E. HUGHES	 	46.1%	14611	8547030	South	7	-51.2	0.5	9		Florida		Florida	D	80734	18535445	-69.3	D	1916
GA	Hex	14	72	% shift to the left			✔	Woodrow Wilson	E		Left	0		79.3	79.3	125845	14	277	WOODROW WILSON	Charles E. Hughes	49.2%	125845	9126063	8	7													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-75	-72.2	7.1	7.1	11225		254	CHARLES E. HUGHES	 	46.1%	11225	8547030	South	6	-72.2	0.5	8		Georgia		Georgia	D	158690	18535445	-79.3	D	1916
